0 0 59.200 59.200
1 0 11.155 60.200
2 0 17.865 60.200
3 0 95.687 5.244
4 0 64.777 73.466
5 0 94.596 49.446
6 0 5.000 76.251
7 0 4.828 4.000
8 0 92.910 3.000
9 0 95.000 8.565
10 0 63.975 48.829
11 0 4.000 95.133
12 0 34.695 48.773
13 0 64.622 4.254
14 0 4.000 71.691
15 0 95.158 28.493
16 0 66.416 25.534
17 0 54.980 41.800
18 0 95.645 74.488
19 0 76.600 20.115
20 0 33.907 96.000
21 0 3.000 22.470
22 0 34.754 28.413
23 0 95.877 95.295
24 0 5.193 26.698
25 0 35.329 4.545
26 0 35.995 74.129
27 0 65.716 96.000
28 0 22.894 58.200
29 0 21.400 13.231
0 2 59.200 59.200
1 2 11.155 60.200
2 2 17.865 60.200
3 2 95.687 5.244
4 2 64.777 73.466
5 2 94.596 49.446
6 2 5.000 76.251
7 2 4.828 4.000
8 2 92.910 3.000
9 2 95.000 10.965
10 2 63.975 48.829
11 2 4.000 95.133
12 2 34.695 48.773
13 2 64.622 4.254
14 2 4.000 71.691
15 2 95.158 28.493
16 2 66.416 25.534
17 2 54.980 41.800
18 2 95.645 74.488
19 2 76.600 20.115
20 2 33.907 96.000
21 2 3.000 22.470
22 2 34.754 28.413
23 2 95.877 95.295
24 2 5.193 26.698
25 2 35.329 4.545
26 2 35.995 74.129
27 2 65.716 96.000
28 2 22.894 58.200
29 2 21.400 13.231
0 4 59.200 59.200
1 4 5.000 57.800
2 4 17.865 60.200
3 4 95.687 5.244
4 4 64.777 73.466
5 4 94.596 49.446
6 4 5.000 76.251
7 4 4.828 4.000
8 4 92.910 3.000
9 4 95.000 13.365
10 4 63.975 48.829
11 4 4.000 95.133
12 4 34.695 48.773
13 4 64.622 4.254
14 4 4.000 71.691
15 4 95.158 28.493
16 4 66.416 25.534
17 4 54.980 41.800
18 4 95.645 74.488
19 4 76.600 20.115
20 4 33.907 96.000
21 4 3.000 20.070
22 4 34.754 28.413
23 4 95.877 95.295
24 4 5.193 26.698
25 4 35.329 4.545
26 4 35.995 74.129
27 4 65.716 96.000
28 4 22.894 58.200
