0 0 47.419 47.419
1 0 39.373 65.187
2 0 65.842 14.829
3 0 88.720 50.237
4 0 33.690 17.459
5 0 24.488 50.301
6 0 88.720 11.487
7 0 88.720 88.720
8 0 11.280 50.104
9 0 12.003 11.435
10 0 19.102 32.806
11 0 39.533 39.947
12 0 31.955 83.815
13 0 50.953 88.720
14 0 58.451 24.533
15 0 23.934 40.665
16 0 11.894 88.720
17 0 60.842 54.410
18 0 76.550 71.373
19 0 32.014 27.619
0 2 47.419 47.419
1 2 39.373 65.187
2 2 65.842 14.829
3 2 88.720 50.237
4 2 33.690 17.459
5 2 24.488 50.301
6 2 88.720 11.487
7 2 88.720 88.720
8 2 11.280 50.104
9 2 12.003 11.435
10 2 19.102 32.806
11 2 39.533 39.947
12 2 31.955 83.815
13 2 68.069 88.720
14 2 58.451 24.533
15 2 23.934 40.665
16 2 11.894 88.720
17 2 60.842 54.410
18 2 76.550 71.373
19 2 32.014 27.619
0 4 47.419 47.419
1 4 39.373 47.419
2 4 65.842 14.829
3 4 88.720 50.237
4 4 33.690 17.459
5 4 24.488 50.301
6 4 88.720 11.487
7 4 88.720 88.720
8 4 11.280 50.104
9 4 12.003 11.435
10 4 19.102 32.806
11 4 39.533 39.947
12 4 31.955 83.815
13 4 75.813 88.720
14 4 58.451 24.533
15 4 23.934 40.665
16 4 11.894 88.720
17 4 60.842 54.410
18 4 76.550 71.373
19 4 32.014 27.619
0 6 47.419 47.419
1 6 39.373 47.419
2 6 65.842 14.829
3 6 88.720 50.237
4 6 33.690 17.459
5 6 24.488 68.069
6 6 88.720 11.487
7 6 88.720 88.720
8 6 11.280 50.104
9 6 12.003 11.435
10 6 19.102 32.806
11 6 39.533 39.947
12 6 31.955 83.815
13 6 75.813 88.720
14 6 58.451 24.533
15 6 23.934 40.665
16 6 11.894 88.720
17 6 60.842 54.410
18 6 76.550 71.373
19 6 32.014 27.619
0 8 47.419 47.419
1 8 39.373 47.419
2 8 65.842 14.829
3 8 88.720 50.237
4 8 33.690 17.459
5 8 24.488 68.069
6 8 88.720 11.487
7 8 88.720 88.720
8 8 11.280 50.104
9 8 12.003 11.435
10 8 19.102 32.806
11 8 39.533 39.947
12 8 31.955 83.815
13 8 75.813 88.720
14 8 58.451 24.533
15 8 23.934 40.665
16 8 11.894 88.720
17 8 60.842 54.410
18 8 76.550 71.373
19 8 32.014 27.619
0 10 47.419 47.419
1 10 39.373 47.419
2 10 65.842 14.829
3 10 88.720 50.237
4 10 33.690 17.459
5 10 24.488 68.069
6 10 88.720 11.487
7 10 88.720 88.720
8 10 11.280 50.104
9 10 12.003 11.435
10 10 19.102 32.806
11 10 39.533 39.947
